Site_Id,Parameter,Date,Hour,Value,Units
39,NO2,2024-12-05,1,0.010469,pphm
39,NO2,2024-12-05,2,,pphm
39,NO2,2024-12-05,3,0.06774,pphm
39,NO2,2024-12-05,4,0.089662,pphm
39,NO2,2024-12-05,5,0.200456,pphm
39,NO2,2024-12-05,6,0.307892,pphm
39,NO2,2024-12-05,7,0.600182,pphm
39,NO2,2024-12-05,8,1.021732,pphm
39,NO2,2024-12-05,9,1.030126,pphm
39,NO2,2024-12-05,10,0.859096,pphm
39,NO2,2024-12-05,11,0.917653,pphm
39,NO2,2024-12-05,12,0.684315,pphm
39,NO2,2024-12-05,13,0.628227,pphm
39,NO2,2024-12-05,14,0.58774,pphm
39,NO2,2024-12-05,15,0.675131,pphm
39,NO2,2024-12-05,16,0.516248,pphm
39,NO2,2024-12-05,17,0.329123,pphm
39,NO2,2024-12-05,18,0.343836,pphm
39,NO2,2024-12-05,19,0.259408,pphm
39,NO2,2024-12-05,20,0.278268,pphm
39,NO2,2024-12-05,21,0.21349,pphm
39,NO2,2024-12-05,22,0.090057,pphm
39,NO2,2024-12-05,23,0.002666,pphm
39,NO2,2024-12-05,24,-0.033376,pphm
39,NO2,2024-12-06,1,0.011652,pphm
39,NO2,2024-12-06,2,,pphm
39,NO2,2024-12-06,3,0.11636,pphm
39,NO2,2024-12-06,4,0.147585,pphm
39,NO2,2024-12-06,5,0.32944,pphm
39,NO2,2024-12-06,6,0.502949,pphm
39,NO2,2024-12-06,7,0.716127,pphm
39,NO2,2024-12-06,8,0.899161,pphm
39,NO2,2024-12-06,9,1.312655,pphm
39,NO2,2024-12-06,10,,pphm
39,NO2,2024-12-06,11,0.354971,pphm
39,NO2,2024-12-06,12,0.571684,pphm
39,NO2,2024-12-06,13,0.645133,pphm
39,NO2,2024-12-06,14,0.608998,pphm
39,NO2,2024-12-06,15,0.789184,pphm
39,NO2,2024-12-06,16,1.022394,pphm
39,NO2,2024-12-06,17,1.038596,pphm
39,NO2,2024-12-06,18,0.971431,pphm
39,NO2,2024-12-06,19,1.018564,pphm
39,NO2,2024-12-06,20,0.706799,pphm
39,NO2,2024-12-06,21,0.67194,pphm
39,NO2,2024-12-06,22,0.576594,pphm
39,NO2,2024-12-06,23,0.467893,pphm
39,NO2,2024-12-06,24,0.367441,pphm
39,NO2,2024-12-07,1,0.146603,pphm
39,NO2,2024-12-07,2,,pphm
39,NO2,2024-12-07,3,0.353878,pphm
39,NO2,2024-12-07,4,0.443168,pphm
39,NO2,2024-12-07,5,0.550356,pphm
39,NO2,2024-12-07,6,1.104887,pphm
39,NO2,2024-12-07,7,1.117316,pphm
39,NO2,2024-12-07,8,0.850938,pphm
39,NO2,2024-12-07,9,0.645611,pphm
39,NO2,2024-12-07,10,0.700299,pphm
39,NO2,2024-12-07,11,0.346818,pphm
39,NO2,2024-12-07,12,0.605043,pphm
39,NO2,2024-12-07,13,0.819617,pphm
39,NO2,2024-12-07,14,0.846961,pphm
39,NO2,2024-12-07,15,0.673154,pphm
39,NO2,2024-12-07,16,0.448736,pphm
39,NO2,2024-12-07,17,0.637856,pphm
39,NO2,2024-12-07,18,0.452912,pphm
39,NO2,2024-12-07,19,0.64054,pphm
39,NO2,2024-12-07,20,0.380128,pphm
39,NO2,2024-12-07,21,0.642628,pphm
39,NO2,2024-12-07,22,0.137912,pphm
39,NO2,2024-12-07,23,0.102117,pphm
39,NO2,2024-12-07,24,0.033509,pphm
39,NO2,2024-12-08,1,0.445952,pphm
39,NO2,2024-12-08,2,,pphm
39,NO2,2024-12-08,3,0.455448,pphm
39,NO2,2024-12-08,4,0.168499,pphm
39,NO2,2024-12-08,5,0.057871,pphm
39,NO2,2024-12-08,6,0.45936,pphm
39,NO2,2024-12-08,7,0.309917,pphm
39,NO2,2024-12-08,8,0.601781,pphm
39,NO2,2024-12-08,9,0.605091,pphm
39,NO2,2024-12-08,10,0.423454,pphm
39,NO2,2024-12-08,11,0.14513,pphm
39,NO2,2024-12-08,12,0.002507,pphm
39,NO2,2024-12-08,13,0.039918,pphm
39,NO2,2024-12-08,14,-0.028284,pphm
39,NO2,2024-12-08,15,-0.017552,pphm
39,NO2,2024-12-08,16,0.087258,pphm
