DATE,TIME,EPOCH_TIME,CH4,CO2,H2O,N2O,NH3
30/11/2023,22:31:31,1701412352,1.841509,411.883362,1.805266,0.322982,0.976471
30/11/2023,23:31:30,1701415936,1.845018,412.148102,1.77361,0.323543,0.942923
1/12/2023,0:31:33,1701419520,1.879698,411.859344,1.748525,0.324607,0.913061
1/12/2023,1:31:33,1701423104,1.941894,415.434784,1.735431,0.324886,0.8806
1/12/2023,2:31:32,1701426688,1.993815,423.544769,1.734998,0.324696,0.863133
1/12/2023,3:31:32,1701430272,2.04875,439.775269,1.760626,0.324267,0.869927
1/12/2023,4:31:33,1701433856,2.278127,433.096741,1.74953,0.324322,0.855643
1/12/2023,5:31:33,1701437440,2.396494,418.927551,1.752789,0.323648,0.862718
1/12/2023,6:31:36,1701441152,2.368642,422.141479,1.75142,0.324028,0.850977
1/12/2023,7:31:33,1701444736,2.162028,420.832001,1.779744,0.323976,0.850257
1/12/2023,8:31:35,1701448320,2.068401,417.116394,1.769874,0.323518,0.850869
1/12/2023,9:31:34,1701451904,2.065134,414.445312,1.79038,0.324175,0.846939
1/12/2023,10:31:35,1701455488,1.984709,412.137024,1.759639,0.323871,0.833502
1/12/2023,11:31:37,1701459072,1.924057,411.49472,1.719197,0.324129,0.903403
1/12/2023,12:31:36,1701462656,1.88348,408.027374,1.884631,0.323047,0.99116
1/12/2023,13:31:36,1701466240,1.863991,406.391632,1.90506,0.322544,1.057645
1/12/2023,14:31:36,1701469952,1.835461,405.527832,1.921043,0.323032,1.090706
1/12/2023,15:31:36,1701473536,1.818671,404.606293,1.955418,0.322221,1.111181
1/12/2023,16:31:35,1701477120,1.809986,404.129517,1.994647,0.322693,1.101291
1/12/2023,17:31:37,1701480704,1.811123,405.427643,1.959963,0.322439,1.025844
1/12/2023,18:31:38,1701484288,1.819761,406.600006,1.894685,0.322459,1.017822
1/12/2023,19:31:37,1701487872,1.838856,410.517242,1.71083,0.323571,0.999121
1/12/2023,20:31:39,1701491456,1.902182,417.168854,1.765896,0.323836,0.922316
1/12/2023,21:31:40,1701495040,1.903707,421.544098,1.719343,0.323968,0.927081
1/12/2023,22:31:38,1701498752,1.91111,432.039185,1.709372,0.324667,0.89715
1/12/2023,23:31:43,1701502336,2.026762,444.429413,1.697041,0.326822,0.906355
2/12/2023,0:31:40,1701505920,1.992736,436.799255,1.692909,0.326273,0.917671
2/12/2023,1:31:41,1701509504,2.023798,445.325897,1.645371,0.327102,0.897462
2/12/2023,2:31:41,1701513088,2.120768,453.399139,1.628785,0.329253,0.886356
2/12/2023,3:31:42,1701516672,2.219131,453.703888,1.632383,0.3379,0.884994
2/12/2023,4:31:42,1701520256,2.273978,456.643463,1.705436,0.332416,0.897935
