DATE,TIME,CH4 (ppm),CO2 (ppm),H2O (%),N2O (ppm),NH3 (ppb),Date_time
4/02/2024,9:08:58,1.86,456.0,1.94,,1.67,4/02/2024 9:08
4/02/2024,10:09:08,1.85,441.9,1.94,,1.23,4/02/2024 10:09
4/02/2024,11:09:07,1.84,431.7,2.03,,1.15,4/02/2024 11:09
4/02/2024,12:09:09,1.82,422.5,2.32,,1.20,4/02/2024 12:09
4/02/2024,13:09:06,1.80,415.4,2.50,,1.21,4/02/2024 13:09
4/02/2024,14:09:06,1.79,412.3,2.56,,1.22,4/02/2024 14:09
4/02/2024,15:09:06,1.79,410.4,2.50,,1.18,4/02/2024 15:09
4/02/2024,16:09:09,1.79,409.6,2.48,,1.17,4/02/2024 16:09
4/02/2024,17:09:12,1.82,410.7,2.43,,1.16,4/02/2024 17:09
4/02/2024,18:09:14,1.80,410.4,2.53,,1.19,4/02/2024 18:09
4/02/2024,19:09:16,1.79,408.7,2.56,,1.19,4/02/2024 19:09
4/02/2024,20:09:16,1.79,407.8,2.55,,1.18,4/02/2024 20:09
4/02/2024,21:09:19,1.80,407.6,2.57,,1.19,4/02/2024 21:09
4/02/2024,22:09:21,1.80,406.4,2.57,,1.19,4/02/2024 22:09
4/02/2024,23:09:21,1.79,405.2,2.57,,1.17,4/02/2024 23:09
5/02/2024,0:09:22,1.79,403.8,2.55,,1.17,5/02/2024 0:09
5/02/2024,1:09:23,1.80,406.2,2.48,,1.15,5/02/2024 1:09
5/02/2024,2:09:25,1.82,410.9,2.33,,1.12,5/02/2024 2:09
5/02/2024,3:09:26,1.84,413.9,2.29,,1.12,5/02/2024 3:09
5/02/2024,4:09:28,1.88,419.1,2.23,,1.09,5/02/2024 4:09
5/02/2024,5:09:29,1.85,414.5,2.14,,1.07,5/02/2024 5:09
5/02/2024,6:09:29,1.90,424.1,2.21,,1.09,5/02/2024 6:09
5/02/2024,7:09:31,1.90,423.8,2.23,,1.07,5/02/2024 7:09
5/02/2024,8:09:31,1.91,417.1,2.18,,1.05,5/02/2024 8:09
5/02/2024,9:09:31,1.84,410.4,2.09,,1.03,5/02/2024 9:09
5/02/2024,10:09:34,1.81,411.7,1.98,,1.02,5/02/2024 10:09
5/02/2024,11:09:36,1.80,409.2,1.79,,0.98,5/02/2024 11:09
5/02/2024,12:09:37,1.80,406.5,1.70,,0.98,5/02/2024 12:09
5/02/2024,13:09:38,1.79,404.0,1.70,,0.99,5/02/2024 13:09
5/02/2024,14:09:40,1.79,404.2,1.62,,1.00,5/02/2024 14:09
5/02/2024,15:09:41,1.80,404.2,1.60,,1.00,5/02/2024 15:09
5/02/2024,16:09:41,1.80,403.8,1.58,,1.02,5/02/2024 16:09
5/02/2024,17:09:42,1.80,404.2,1.58,,1.02,5/02/2024 17:09
5/02/2024,18:09:43,1.80,404.4,1.57,,1.05,5/02/2024 18:09
5/02/2024,19:09:41,1.80,405.3,1.48,,1.03,5/02/2024 19:09
5/02/2024,20:09:45,1.81,406.1,1.37,,1.02,5/02/2024 20:09
5/02/2024,21:09:46,1.81,407.3,1.20,,0.99,5/02/2024 21:09
5/02/2024,22:09:47,1.81,406.7,1.22,,1.06,5/02/2024 22:09
5/02/2024,23:09:49,1.81,406.2,1.26,,1.08,5/02/2024 23:09
6/02/2024,0:09:51,1.81,406.5,1.21,,1.08,6/02/2024 0:09
6/02/2024,1:09:54,1.93,408.6,1.20,,1.11,6/02/2024 1:09
6/02/2024,2:09:53,1.96,408.9,1.18,,1.10,6/02/2024 2:09
6/02/2024,3:09:57,1.89,410.8,1.18,,1.10,6/02/2024 3:09
6/02/2024,4:09:57,1.88,415.3,1.19,,1.11,6/02/2024 4:09
